history:WM3423_BJ_LTA_REF/LTA_DISCHRG_PSIG
2019-十月-1 00:00 AM CT  to  2019-十月-16 14:26 PM CT

Timestamp,Trend Flags,Status,Value (psi)
"2019-十月-10 14:40:00 PM CT","{ }","{ok}","214.0 psi"
"2019-十月-10 14:50:00 PM CT","{ }","{ok}","203.2 psi"
"2019-十月-10 15:00:00 PM CT","{ }","{ok}","195.9 psi"
"2019-十月-10 15:10:00 PM CT","{ }","{ok}","200.3 psi"
"2019-十月-10 15:20:00 PM CT","{ }","{ok}","193.0 psi"
"2019-十月-10 15:30:00 PM CT","{ }","{ok}","194.0 psi"
"2019-十月-10 15:40:00 PM CT","{ }","{ok}","205.2 psi"
"2019-十月-10 15:50:00 PM CT","{ }","{ok}","221.8 psi"
"2019-十月-10 16:00:00 PM CT","{ }","{ok}","198.4 psi"
"2019-十月-10 16:10:00 PM CT","{ }","{ok}","192.0 psi"
"2019-十月-10 16:20:00 PM CT","{ }","{ok}","182.2 psi"
"2019-十月-10 16:30:00 PM CT","{ }","{ok}","191.5 psi"
"2019-十月-10 16:40:00 PM CT","{ }","{ok}","192.0 psi"
"2019-十月-10 16:50:00 PM CT","{ }","{ok}","203.2 psi"
"2019-十月-10 17:00:00 PM CT","{ }","{ok}","196.9 psi"
"2019-十月-10 17:10:00 PM CT","{ }","{ok}","196.9 psi"
"2019-十月-10 17:20:00 PM CT","{ }","{ok}","204.7 psi"
"2019-十月-10 17:30:00 PM CT","{ }","{ok}","197.4 psi"
"2019-十月-10 17:40:00 PM CT","{ }","{ok}","214.0 psi"
"2019-十月-10 17:50:00 PM CT","{ }","{ok}","203.7 psi"
"2019-十月-10 18:00:00 PM CT","{ }","{ok}","210.6 psi"
"2019-十月-10 18:10:00 PM CT","{ }","{ok}","204.7 psi"
"2019-十月-10 18:20:00 PM CT","{ }","{ok}","198.8 psi"
"2019-十月-10 18:30:00 PM CT","{ }","{ok}","194.0 psi"
"2019-十月-10 18:40:00 PM CT","{ }","{ok}","198.4 psi"
"2019-十月-10 18:50:00 PM CT","{ }","{ok}","246.7 psi"
"2019-十月-10 19:00:00 PM CT","{ }","{ok}","222.3 psi"
"2019-十月-10 19:10:00 PM CT","{ }","{ok}","231.6 psi"
"2019-十月-10 19:20:00 PM CT","{ }","{ok}","256.9 psi"
"2019-十月-10 19:30:00 PM CT","{ }","{ok}","243.3 psi"
"2019-十月-10 19:40:00 PM CT","{ }","{ok}","226.7 psi"
"2019-十月-10 19:50:00 PM CT","{ }","{ok}","245.2 psi"
"2019-十月-10 20:00:00 PM CT","{ }","{ok}","225.7 psi"
"2019-十月-10 20:10:00 PM CT","{ }","{ok}","223.3 psi"
"2019-十月-10 20:20:00 PM CT","{ }","{ok}","209.1 psi"
"2019-十月-10 20:30:00 PM CT","{ }","{ok}","218.4 psi"
"2019-十月-10 20:40:00 PM CT","{ }","{ok}","247.2 psi"
"2019-十月-10 20:50:00 PM CT","{ }","{ok}","231.1 psi"
"2019-十月-10 21:00:00 PM CT","{ }","{ok}","237.4 psi"
"2019-十月-10 21:10:00 PM CT","{ }","{ok}","223.7 psi"
"2019-十月-10 21:20:00 PM CT","{ }","{ok}","222.3 psi"
"2019-十月-10 21:30:00 PM CT","{ }","{ok}","249.6 psi"
"2019-十月-10 21:40:00 PM CT","{ }","{ok}","242.8 psi"
"2019-十月-10 21:50:00 PM CT","{ }","{ok}","228.6 psi"
"2019-十月-10 22:00:00 PM CT","{ }","{ok}","231.6 psi"
"2019-十月-10 22:10:00 PM CT","{ }","{ok}","215.4 psi"
"2019-十月-10 22:20:00 PM CT","{ }","{ok}","214.5 psi"
"2019-十月-10 22:30:00 PM CT","{ }","{ok}","227.2 psi"
"2019-十月-10 22:40:00 PM CT","{ }","{ok}","211.0 psi"
"2019-十月-10 22:50:00 PM CT","{ }","{ok}","246.2 psi"
"2019-十月-10 23:00:00 PM CT","{ }","{ok}","233.0 psi"
"2019-十月-10 23:10:00 PM CT","{ }","{ok}","227.6 psi"
"2019-十月-10 23:20:00 PM CT","{ }","{ok}","244.2 psi"
"2019-十月-10 23:30:00 PM CT","{ }","{ok}","226.7 psi"
"2019-十月-10 23:40:00 PM CT","{ }","{ok}","224.7 psi"
"2019-十月-10 23:50:00 PM CT","{ }","{ok}","220.8 psi"
"2019-十月-11 00:00:00 AM CT","{ }","{ok}","217.9 psi"
"2019-十月-11 00:10:00 AM CT","{ }","{ok}","213.5 psi"
"2019-十月-11 00:20:00 AM CT","{ }","{ok}","226.7 psi"
"2019-十月-11 00:30:00 AM CT","{ }","{ok}","219.3 psi"
"2019-十月-11 00:40:00 AM CT","{ }","{ok}","222.3 psi"
"2019-十月-11 00:50:00 AM CT","{ }","{ok}","221.8 psi"
"2019-十月-11 01:00:00 AM CT","{ }","{ok}","212.5 psi"
"2019-十月-11 01:10:00 AM CT","{ }","{ok}","220.8 psi"
"2019-十月-11 01:20:00 AM CT","{ }","{ok}","241.8 psi"
"2019-十月-11 01:30:00 AM CT","{ }","{ok}","217.9 psi"
"2019-十月-11 01:40:00 AM CT","{ }","{ok}","220.8 psi"
"2019-十月-11 01:50:00 AM CT","{ }","{ok}","212.5 psi"
"2019-十月-11 02:00:00 AM CT","{ }","{ok}","217.9 psi"
"2019-十月-11 02:10:00 AM CT","{ }","{ok}","210.1 psi"
"2019-十月-11 02:20:00 AM CT","{ }","{ok}","212.0 psi"
"2019-十月-11 02:30:00 AM CT","{ }","{ok}","210.1 psi"
"2019-十月-11 02:40:00 AM CT","{ }","{ok}","219.3 psi"
"2019-十月-11 02:50:00 AM CT","{ }","{ok}","220.8 psi"
"2019-十月-11 03:00:00 AM CT","{ }","{ok}","203.2 psi"
"2019-十月-11 03:10:00 AM CT","{ }","{ok}","215.0 psi"
"2019-十月-11 03:20:00 AM CT","{ }","{ok}","204.7 psi"
"2019-十月-11 03:30:00 AM CT","{ }","{ok}","229.6 psi"
"2019-十月-11 03:40:00 AM CT","{ }","{ok}","211.0 psi"
"2019-十月-11 03:50:00 AM CT","{ }","{ok}","220.3 psi"
