Timestamp,B TEMP_Value (°F),Predict,Lower,Upper
2019-10-16 11:50:00,,-10.800614298702818,-19.607151683962645,-1.994076913442992
2019-10-16 12:00:00,,-12.653106500810816,-22.7144524096161,-2.5917605920055298
2019-10-16 12:10:00,,-12.261151585747267,-22.321869754441927,-2.2004334170526096
2019-10-16 12:20:00,,-13.018240023801077,-23.078958192495733,-2.9575218551064193
2019-10-16 12:30:00,,-15.065567551066112,-25.12628571976077,-5.004849382371454
2019-10-16 12:40:00,,-14.636465134037406,-24.697183302732064,-4.5757469653427485
2019-10-16 12:50:00,,-13.045641432310864,-23.106359601005522,-2.984923263616208
2019-10-16 13:00:00,,-11.656008805399152,-21.71672697409381,-1.595290636704494
2019-10-16 13:10:00,,-13.860510073521494,-23.921228242216152,-3.7997919048268365
2019-10-16 13:20:00,,-13.321041500438142,-23.381759669132798,-3.260323331743484
2019-10-16 13:30:00,,-15.352556328390667,-25.413274497085325,-5.291838159696011
2019-10-16 13:40:00,,-13.543551471070506,-23.604269639765164,-3.482833302375848
2019-10-16 13:50:00,,-12.7487484249646,-22.80946659365926,-2.6880302562699416
2019-10-16 14:00:00,,-8.871975954048295,-18.93269412274295,1.1887422146463624
2019-10-16 14:10:00,,25.895864367705574,15.835146199010918,35.956582536400234
2019-10-16 14:20:00,,46.05228742343422,35.99156925473957,56.11300559212888
2019-10-16 14:30:00,,59.62976553030556,49.569047361610906,69.69048369900023
2019-10-16 14:40:00,,10.023981229348166,-0.03673693934649158,20.084699398042822
2019-10-16 14:50:00,,-5.171056900584135,-15.231775069278793,4.8896612681105225
2019-10-16 15:00:00,,-7.411581906442386,-17.472300075137042,2.649136262252272
2019-10-16 15:10:00,,-8.061218396985797,-18.121936565680457,1.9994997717088605
2019-10-16 15:20:00,,-11.160032521275067,-21.220750689969726,-1.099314352580409
2019-10-16 15:30:00,,-12.378406006651812,-22.43912417534647,-2.3176878379571537
2019-10-16 15:40:00,,-12.424334265128628,-22.485052433823284,-2.3636160964339705
